"Application","Environment","app_sim","env_sim","time","energy","Scheduler"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",11216.221526,13111265.244422,"round_robin"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",11851.933819,13894451.345269,"round_robin"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",541.859911,643165.269627,"round_robin"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",390.830891,456840.256622,"round_robin"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",468.55252,549667.709842,"round_robin"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11216.221526,773421.565673,"round_robin"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.933819,857324.144413,"round_robin"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",595.728047,47193.051035,"round_robin"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.830891,26926.276996,"round_robin"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.55252,34259.937311,"round_robin"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.275753,5090536.814891,"round_robin"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4740.409382,5491091.384702,"round_robin"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",308.942509,365222.83673,"round_robin"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.28829,177273.798843,"round_robin"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",223.555001,257873.713619,"round_robin"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",4486.492411,5377910.652366,"minmin"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",4819.816801,5885816.307313,"minmin"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",524.967873,627870.953798,"minmin"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",158.576019,189932.362659,"minmin"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",326.280244,391443.60807,"minmin"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.804053,773394.847382,"minmin"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.121572,857272.160621,"minmin"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.219655,52600.513947,"minmin"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860264,26928.156878,"minmin"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608546,34263.522941,"minmin"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234006,5090490.89328,"minmin"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4740.76153,5491478.746555,"minmin"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",343.590363,403335.47631,"minmin"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291228,177277.030285,"minmin"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.826698,257072.580219,"minmin"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",4486.50092,5377920.557809,"decreasing_time"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",4819.880311,5885890.23349,"decreasing_time"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",524.967426,627870.433289,"decreasing_time"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",158.576,189932.340263,"decreasing_time"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",326.414512,391599.89606,"decreasing_time"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.812454,773395.385072,"decreasing_time"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.184181,857276.167585,"decreasing_time"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.57545,52623.284821,"decreasing_time"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860172,26928.150994,"decreasing_time"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608274,34263.50556,"decreasing_time"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234846,5090491.816983,"decreasing_time"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4757.399781,5509780.8226,"decreasing_time"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",344.060749,403852.900429,"decreasing_time"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291218,177277.019776,"decreasing_time"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.961084,257220.405287,"decreasing_time"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",4486.50092,5377920.557809,"critical_path"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",4819.880311,5885890.23349,"critical_path"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",524.967426,627870.433289,"critical_path"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",158.576,189932.340263,"critical_path"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",326.414512,391599.89606,"critical_path"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.812454,773395.385072,"critical_path"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.184181,857276.167585,"critical_path"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.57545,52623.284821,"critical_path"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860172,26928.150994,"critical_path"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608274,34263.50556,"critical_path"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234846,5090491.816983,"critical_path"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4741.036581,5491781.3026,"critical_path"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",344.060749,403852.900429,"critical_path"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291218,177277.019776,"critical_path"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.961084,257220.405287,"critical_path"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",11215.812454,13110789.084743,"critical_path_energy"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",11851.184181,13893578.766698,"critical_path_energy"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",676.391931,796399.21318,"critical_path_energy"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",390.860172,456874.33995,"critical_path_energy"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",468.608274,549732.60738,"critical_path_energy"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.812454,773395.385072,"critical_path_energy"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.184181,857276.167585,"critical_path_energy"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.57545,52623.284821,"critical_path_energy"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860172,26928.150994,"critical_path_energy"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608274,34263.50556,"critical_path_energy"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234846,5090491.816983,"critical_path_energy"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4741.036581,5491781.3026,"critical_path_energy"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",344.060749,403852.900429,"critical_path_energy"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291218,177277.019776,"critical_path_energy"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.961084,257220.405287,"critical_path_energy"
"Inspiral_30","combined_cluster","app/Inspiral_30.xml","env/combined_cluster.xml",11215.812454,13110789.084743,"decreasing_time_energy"
"Inspiral_50","combined_cluster","app/Inspiral_50.xml","env/combined_cluster.xml",11851.184181,13893578.766698,"decreasing_time_energy"
"Montage_100","combined_cluster","app/Montage_100.xml","env/combined_cluster.xml",676.391931,796399.21318,"decreasing_time_energy"
"Montage_25","combined_cluster","app/Montage_25.xml","env/combined_cluster.xml",390.860172,456874.33995,"decreasing_time_energy"
"Montage_50","combined_cluster","app/Montage_50.xml","env/combined_cluster.xml",468.608274,549732.60738,"decreasing_time_energy"
"Inspiral_30","microHPC","app/Inspiral_30.xml","env/microHPC.xml",11215.812454,773395.385072,"decreasing_time_energy"
"Inspiral_50","microHPC","app/Inspiral_50.xml","env/microHPC.xml",11851.184181,857276.167585,"decreasing_time_energy"
"Montage_100","microHPC","app/Montage_100.xml","env/microHPC.xml",680.57545,52623.284821,"decreasing_time_energy"
"Montage_25","microHPC","app/Montage_25.xml","env/microHPC.xml",390.860172,26928.150994,"decreasing_time_energy"
"Montage_50","microHPC","app/Montage_50.xml","env/microHPC.xml",468.608274,34263.50556,"decreasing_time_energy"
"Inspiral_30","miniHPC","app/Inspiral_30.xml","env/miniHPC.xml",4486.234846,5090491.816983,"decreasing_time_energy"
"Inspiral_50","miniHPC","app/Inspiral_50.xml","env/miniHPC.xml",4757.399781,5509780.8226,"decreasing_time_energy"
"Montage_100","miniHPC","app/Montage_100.xml","env/miniHPC.xml",344.060749,403852.900429,"decreasing_time_energy"
"Montage_25","miniHPC","app/Montage_25.xml","env/miniHPC.xml",156.291218,177277.019776,"decreasing_time_energy"
"Montage_50","miniHPC","app/Montage_50.xml","env/miniHPC.xml",222.961084,257220.405287,"decreasing_time_energy"
